manufacturer,model_name,category,screen_size_inches,screen,cpu,cpu_manufacturer,cpu_speed,ram_gb,storage_1_type,storage_1_capacity_gb,storage_2_type,storage_2_capacity_gb,gpu,gpu_manufacturer,os,os_version,weight_kg,screen_resolution,price_euros
Lenovo,IdeaPad 320-17ISK,Notebook,17.3,1600x900,Intel Core i3 6006U 2,Intel,,4.0,HDD,1000.0,,,Intel HD Graphics 520,,Windows,10,2.8,1600x900,489.0
Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,HDD,2000.0,,,Nvidia GeForce MX150,,No OS,Version Unknown,2.8,1920x1080,849.0
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i7 7500U 2.7,Intel,,6.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce 940MX,,Windows,10,2.8,1600x900,859.0
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0,Intel,,4.0,HDD,1000.0,,,AMD Radeon R5 M430,,Linux,,2.25,1920x1080,428.0
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5,Intel,,8.0,SSD,256.0,,,Nvidia GeForce GTX 1050,,Windows,10,2.5,1920x1080,829.0
Lenovo,Ideapad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,6.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,2.2,1920x1080,579.0
Acer,Aspire A517-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,SSD,256.0,,,Nvidia GeForce MX150,,Windows,10,3.0,1920x1080,951.0
Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7,Intel,,12.0,HDD,1000.0,,,Intel HD Graphics 620,,Windows,10,2.15,1920x1080,659.0
Lenovo,Thinkpad T570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 630,,Windows,10,1.95,1920x1080,1097.0
Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Nvidia GeForce 940MX,,Windows,10,1.7,1920x1080,977.0
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,16.0,SSD ,256.0,HDD,1000.0,Nvidia GeForce GTX 1050 Ti,,Windows,10,2.5,1920x1080,1179.0
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,HDD,1000.0,,,Nvidia GeForce 940MX,,No OS,Version Unknown,2.2,1920x1080,659.01
Acer,Chromebook C910-C2ST,Notebook,15.6,1366x768,Intel Celeron Dual Core 3205U 1.5,Intel,,2.0,SSD,16.0,,,Intel HD Graphics,,Chrome OS,,2.19,1366x768,199.0
Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,HDD,1000.0,,,Nvidia GeForce GTX 1050,,Windows,10,3.0,1920x1080,1187.0
HP,17-BS037cl (i3-6006U/8GB/1TB/W10),Notebook,17.3,1600x900,Intel Core i3 6006U 2,Intel,,8.0,HDD,1000.0,,,Intel HD Graphics 520,,Windows,10,2.54,1600x900,489.0
Dell,XPS 15,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,SSD,256.0,,,Nvidia GeForce GTX 1050,,Windows,10,2.0,1920x1080,1829.0
Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD,256.0,,,Intel UHD Graphics 620,,Windows,10,2.05,1920x1080,739.0
Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,HDD,1000.0,,,Nvidia GeForce GTX 1060,,Windows,10,3.2,1920x1080,1299.0
Acer,Aspire A715-71G,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,SSD,256.0,,,Nvidia GeForce GTX 1050 Ti,,Linux,,2.5,1920x1080,979.0
Dell,Precision 7720,Workstation,17.3,Full HD 1920x1080,Intel Core i7 7820HQ 2.9,Intel,,16.0,SSD,256.0,,,Nvidia Quadro M1200,,Windows,10,3.42,1920x1080,2884.86
Lenovo,IdeaPad 310-15ABR,Notebook,15.6,Full HD 1920x1080,AMD A10-Series 9600P 2.4,AMD,,6.0,HDD,1000.0,,,AMD Radeon R5 430,,Windows,10,2.4,1920x1080,499.0
Asus,ZenBook UX530UQ-PRO,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,16.0,SSD,512.0,,,Nvidia GeForce 940MX,,Windows,10,1.63,1920x1080,1468.0
Asus,VivoBook S14,Notebook,14.0,1366x768,Intel Core i3 7100U 2.4,Intel,,4.0,SSD,128.0,,,Intel HD Graphics 620,,Windows,10,1.3,1366x768,509.0
Asus,Rog GL702VS-GC095T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,16.0,SSD ,256.0,HDD,1000.0,Nvidia GeForce GTX 1070,,Windows,10,2.9,1920x1080,2122.0
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5,Intel,,6.0,HDD,1000.0,,,Nvidia GeForce GTX 940M,,Windows,10,2.8,1600x900,649.0
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5,Intel,,8.0,HDD,2000.0,,,Nvidia GeForce 940MX,,No OS,Version Unknown,2.2,1366x768,549.0
Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce GTX 1050 Ti,,Windows,10,2.5,1920x1080,1265.0
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1,Intel,,4.0,HDD,1000.0,,,Intel HD Graphics 505,,No OS,Version Unknown,2.2,1366x768,359.99
HP,EliteBook x360,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7600U 2.8,Intel,,16.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.28,1920x1080,1975.0
Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5,Intel,,8.0,SSD,256.0,,,Nvidia GeForce 930M,,Windows,10,2.2,1920x1080,1043.0
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce 940MX,,Windows,10,2.3,1920x1080,819.0
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2,Intel,,4.0,HDD,1000.0,,,Intel HD Graphics 520,,Windows,10,1.86,1920x1080,469.0
Lenovo,IdeaPad 720S-13IKB,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.1,1920x1080,999.0
Dell,XPS 13,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8,Intel,,16.0,SSD,1000.0,,,Intel UHD Graphics 620,,Windows,10,1.21,3840x2160,2499.0
MSI,GE63VR 7RF,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,16.0,SSD ,256.0,HDD,1000.0,Nvidia GeForce GTX 1070,,Windows,10,2.8,1920x1080,2099.0
Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,AMD A8-Series 7410 2.2,AMD,,8.0,SSD,256.0,,,AMD Radeon R5,,Windows,10,2.23,1920x1080,469.0
Asus,VivoBook Flip,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1,Intel,,2.0,Flash Storage,32.0,,,Intel HD Graphics 500,,Windows,10,1.1,1366x768,275.0
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD ,128.0,HDD,1000.0,AMD Radeon 530,,Windows,10,2.33,1920x1080,844.0
HP,Spectre x360,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8,Intel,,16.0,SSD,1000.0,,,Intel UHD Graphics 620,,Windows,10,1.29,3840x2160,2449.0
Lenovo,ThinkPad 13,Notebook,13.3,1366x768,Intel Celeron Dual Core 3855U 1.6,Intel,,4.0,Flash Storage,16.0,,,Intel HD Graphics 510,,Chrome OS,,1.45,1366x768,459.9
HP,ProBook 640,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.95,1920x1080,980.0
Acer,TravelMate B,Notebook,11.6,1366x768,Intel Pentium Quad Core N3710 1.6,Intel,,4.0,Flash Storage,128.0,,,Intel HD Graphics 405,,Windows,10,1.4,1366x768,485.0
HP,Elitebook 840,Notebook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.48,1920x1080,1292.0
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5,Intel,,4.0,HDD,1000.0,,,Nvidia GeForce 920MX,,Windows,10,2.79,1600x900,589.0
Asus,ZenBook UX410UA-GV183T,Notebook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,2.0,1920x1080,1094.0
HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1366x768,Intel Core i7 8550U 1.8,Intel,,8.0,HDD,1000.0,,,Intel UHD Graphics 620,,Windows,10,2.1,1366x768,902.0
Acer,Aspire 5,Notebook,15.6,1366x768,AMD A12-Series 9720P 2.7,AMD,,8.0,SSD,256.0,,,AMD Radeon RX 540,,Windows,10,2.2,1366x768,659.0
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1,Intel,,4.0,Flash Storage,32.0,,,Intel HD Graphics 500,,Windows,10,1.44,1366x768,292.0
Acer,Aspire E5-575,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5,Intel,,6.0,HDD,1000.0,,,Intel HD Graphics 620,,Windows,10,2.23,1366x768,549.0
Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,SSD,256.0,,,Nvidia GeForce 940MX,,Windows,10,1.7,1920x1080,1049.9
HP,Elitebook 820,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.26,1920x1080,1335.0
Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8,Intel,,32.0,SSD,1000.0,,,Nvidia GeForce GTX 1050,,Windows,10,2.06,3840x2160,2639.0
MSI,GL72M 7REX,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,SSD ,256.0,HDD,1000.0,Nvidia GeForce GTX 1050 Ti,,Windows,10,2.7,1920x1080,1199.0
Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,2.0,1920x1080,943.0
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,SSD ,256.0,HDD,1000.0,Intel HD Graphics 620,,Windows,10,2.0,1920x1080,1334.0
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2,Intel,,4.0,HDD,1000.0,,,Intel HD Graphics 520,,Windows,10,1.85,1920x1080,449.0
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,SSD,256.0,,,Nvidia GeForce GTX 1050,,Windows,10,2.5,1920x1080,999.0
HP,EliteBook 840,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7300U 2.6,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.48,1920x1080,1268.0
Dell,Inspiron 7570,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce 940MX,,Windows,10,1.9,1920x1080,1049.0
HP,Elitebook 850,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.84,1920x1080,1144.0
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1,Intel,,4.0,HDD,1000.0,,,Intel HD Graphics 500,,Linux,,2.0,1366x768,274.99
Dell,Inspiron 7570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD,256.0,,,Nvidia GeForce 940MX,,Windows,10,2.0,1920x1080,1142.75
Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6,Intel,,4.0,HDD,500.0,,,Intel HD Graphics,,Linux,,2.2,1366x768,274.9
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,Full HD 1920x1080,AMD A12-Series 9720P 3.6,AMD,,12.0,HDD,2000.0,,,AMD Radeon 530,,Windows,10,2.2,1920x1080,899.0
HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4,Intel,,8.0,HDD,1000.0,,,Nvidia GeForce 930MX ,,Windows,10,2.1,1920x1080,716.0
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8,Intel,,16.0,SSD,512.0,,,Intel UHD Graphics 620,,Windows,10,1.4,3840x2160,2099.0
Dell,XPS 13,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,SSD,256.0,,,Intel UHD Graphics 620,,Windows,10,1.2,1920x1080,1579.0
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,16.0,SSD ,256.0,HDD,2000.0,Nvidia GeForce GTX 1050 Ti,,Windows,10,2.4,1920x1080,1129.0
HP,Stream 14-AX001nv,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6,Intel,,2.0,Flash Storage,32.0,,,Intel HD Graphics 400,,Windows,10,1.44,1366x768,279.0
Dell,Latitude 5590,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9,Intel,,16.0,SSD ,512.0,SSD,256.0,Intel UHD Graphics 620,,Windows,10,1.88,1920x1080,1607.96
Asus,VivoBook Flip,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1,Intel,,4.0,Flash Storage,32.0,,,Intel HD Graphics 500,,Windows,10,1.5,1366x768,375.0
Dell,Inspiron 5570,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,HDD,1000.0,,,AMD Radeon 530,,Windows,10,1.9,1920x1080,663.0
Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8,Intel,,16.0,SSD,512.0,,,Nvidia GeForce GTX 1050,,Windows,10,2.06,3840x2160,2027.42
HP,Elitebook 850,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.84,1920x1080,1304.0
MSI,GP72MVR 7RFX,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce GTX 1060,,Windows,10,2.7,1920x1080,1409.0
HP,Zbook 15,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,SSD,256.0,,,Nvidia Quadro M1200,,Windows,10,2.6,1920x1080,1738.27
Toshiba,Tecra A50-C-21G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5,Intel,,16.0,SSD,512.0,,,Nvidia GeForce 930M,,Windows,10,2.4,1920x1080,1403.0
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,SSD ,128.0,HDD,2000.0,AMD Radeon 530,,Windows,10,2.02,1920x1080,970.9
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1,Intel,,4.0,HDD,1000.0,,,Intel HD Graphics 500,,No OS,Version Unknown,2.2,1366x768,321.99
Dell,Inspiron 7577,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5,Intel,,8.0,HDD,1000.0,,,Nvidia GeForce GTX 1050,,Windows,10,2.65,1920x1080,999.0
Dell,Inspiron 3567,Notebook,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5,Intel,,8.0,HDD,2000.0,,,Intel HD Graphics 620,,Windows,10,2.36,1366x768,557.37
Dell,Latitude 7480,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7300U 2.6,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.36,1920x1080,1427.0
HP,250 G6,Notebook,15.6,1366x768,Intel Core i3 6006U 2,Intel,,4.0,HDD,500.0,,,Intel HD Graphics 520,,Windows,10,1.86,1366x768,439.0
Asus,Zenbook UX410UA-GV027T,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,2.0,1920x1080,945.0
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5,Intel,,6.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce GTX 940MX,,Windows,10,2.8,1600x900,719.0
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,HDD,1000.0,,,Intel HD Graphics 620,,Windows,10,1.86,1920x1080,639.0
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2,Intel,,8.0,SSD,256.0,,,Nvidia GeForce 920MX ,,No OS,Version Unknown,2.2,1366x768,499.0
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,1366x768,Intel Pentium Quad Core N3710 1.6,Intel,,8.0,HDD,2000.0,,,Intel HD Graphics 405,,Windows,10,2.04,1366x768,389.0
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD ,128.0,HDD,1000.0,AMD Radeon 530,,Windows,10,2.8,1920x1080,1085.0
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5,Intel,,8.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce GTX 1050,,No OS,Version Unknown,2.4,1920x1080,809.0
Dell,Inspiron 5567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,SSD,256.0,,,AMD Radeon R7 M445,,Windows,10,2.33,1920x1080,899.0
HP,Elitebook 1040,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.36,1920x1080,1750.0
Asus,ZenBook Flip,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7,Intel,,12.0,SSD ,512.0,HDD,2000.0,Nvidia GeForce GT 940MX,,Windows,10,2.26,1920x1080,1099.0
Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3,AMD,,4.0,SSD,128.0,,,AMD Radeon R5,,Windows,10,2.1,1366x768,426.0
Asus,Rog Strix,Gaming,17.3,IPS Panel Full HD 1920x1080,AMD Ryzen 1700 3,AMD,,16.0,SSD ,256.0,HDD,1000.0,AMD Radeon RX 580,,Windows,10,3.25,1920x1080,2199.0
Lenovo,IdeaPad 110-17ACL,Notebook,17.3,1600x900,AMD A8-Series 7410 2.2,AMD,,4.0,SSD,128.0,,,AMD Radeon R5,,Windows,10,2.6,1600x900,489.0
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,SSD,256.0,,,Intel UHD Graphics 620,,Windows,10,1.62,1920x1080,869.01
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3,AMD,,4.0,SSD,256.0,,,AMD Radeon R5,,Windows,10,1.91,1920x1080,488.99
Lenovo,Yoga 11e,Netbook,11.6,IPS Panel 1366x768,Intel Celeron Quad Core N3450 1.1,Intel,,4.0,SSD,128.0,,,Intel HD Graphics 500,,Windows,10,1.59,1366x768,553.0
Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.60,Intel,,4.0,HDD,500.0,,,Intel HD Graphics 400,,Windows,10,1.8,1366x768,309.0
Asus,VivoBook E403NA,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1,Intel,,4.0,Flash Storage,32.0,,,Intel HD Graphics 500,,Windows,10,1.5,1366x768,286.0
Acer,Aspire 7,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,HDD,1000.0,,,Nvidia GeForce GTX 1050,,Linux,,2.4,1920x1080,846.0
HP,Omen 17-w212nv,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce GTX 1050,,Windows,10,3.35,1920x1080,1191.0
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2,Intel,,4.0,SSD,128.0,,,Intel HD Graphics 520,,No OS,Version Unknown,1.85,1920x1080,403.5
Asus,ROG Strix,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce GTX 1060,,Windows,10,2.3,1920x1080,1655.0
Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Nvidia GeForce 940MX,,Windows,10,1.5,1920x1080,1099.0
Asus,Zenbook Flip,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7,Intel,,16.0,SSD,512.0,,,Intel HD Graphics 620,,Windows,10,1.1,1920x1080,1748.9
Lenovo,Thinkpad X1,Ultrabook,14.0,IPS Panel 2560x1440,Intel Core i7 7500U 2.7,Intel,,8.0,SSD,512.0,,,Intel HD Graphics 620,,Windows,10,1.13,2560x1440,2282.0
Lenovo,Ideapad 510S-13IKB,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4,Intel,,4.0,SSD,128.0,,,Intel HD Graphics 620,,Windows,10,1.5,1920x1080,549.0
Dell,Precision 3510,Workstation,15.6,Full HD 1920x1080,Intel Core i5 6440HQ 2.6,Intel,,8.0,HDD,500.0,,,AMD FirePro W5130M,,Windows,10,2.23,1920x1080,1369.0
Dell,Precision 5520,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7,Intel,,8.0,SSD,256.0,,,Nvidia Quadro M1200,,Windows,10,2.0,1920x1080,2135.0
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Touchscreen 2560x1440,Intel Core i7 7500U 2.7,Intel,,16.0,SSD,512.0,,,Intel HD Graphics 620,,Windows,10,1.42,2560x1440,2509.0
Asus,Rog GL753VD-GC042T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,HDD,1000.0,,,Nvidia GeForce GTX 1050,,Windows,10,3.0,1920x1080,1039.0
Asus,Rog GL753VE-GC070T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,16.0,SSD ,256.0,HDD,1000.0,Nvidia GeForce GTX 1050 Ti,,Windows,10,3.0,1920x1080,1591.0
Acer,Aspire 5,Notebook,15.6,IPS Panel 1366x768,Intel Core i5 8250U 1.6,Intel,,12.0,HDD,1000.0,,,Nvidia GeForce MX130,,Windows,10,2.2,1366x768,693.99
MSI,Leopard GP72M,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,SSD,256.0,,,Nvidia GeForce GTX 1050 Ti,,Windows,10,2.7,1920x1080,1349.0
Dell,Inspiron 5567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,SSD,256.0,,,AMD Radeon R7 M445,,Linux,,2.33,1920x1080,778.87
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3,AMD,,4.0,SSD,256.0,,,AMD Radeon 520,,Windows,10,1.91,1920x1080,499.0
Lenovo,ThinkPad E580,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,SSD,256.0,,,AMD Radeon RX 550,,Windows,10,2.1,1920x1080,1229.56
Lenovo,ThinkPad L470,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.9,1920x1080,938.0
Dell,Precision M5520,Workstation,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8,Intel,,8.0,SSD,256.0,,,Nvidia Quadro M1200,,Windows,10,1.78,3840x2160,2712.0
Lenovo,Thinkpad X1,Ultrabook,14.0,IPS Panel 2560x1440,Intel Core i7 7500U 2.7,Intel,,16.0,SSD,1000.0,,,Intel HD Graphics 620,,Windows,10,1.13,2560x1440,2625.0
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1,Intel,,4.0,HDD,1000.0,,,Intel HD Graphics 500,,Windows,10,2.2,1366x768,306.0
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,16.0,SSD ,256.0,HDD,1000.0,Nvidia GeForce GTX 1050,,Windows,10,2.9,1920x1080,1529.0
Lenovo,ThinkPad E580,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD ,256.0,HDD,1000.0,AMD Radeon RX 550,,Windows,10,2.1,1920x1080,1144.5
